(chess-engine) henry@fedora:~/Desktop/code/chess-engine$ python train_unified.py     --resume-from ./checkpoints/phase1/checkpoint_step_90000.pt     --dataset-type action_value     --dataset-path ./searchless_chess/data/train     --batch-size 64     --total-steps 200000     --learning-rate 3e-4     --warmup-steps 5000     --d-model 512 --n-layers 12 --n-heads 8 --d-ff 2048     --dropout 0.1 --drop-path 0.1     --grad-accum-steps 2     --grad-clip 1.0     --output-dir ./checkpoints/phase1 --log-interval 50 --precision fp32
[startup] cuda_count=1 precision=fp32 rank=0 world=1 local_rank=0 device=cuda:0 amp=off
Resumed from ./checkpoints/phase1/checkpoint_step_90000.pt at step 90000
Step 97900/200000, lr=1.611062e-04, loss=3.8169, time=21.0s
Step 97950/200000, lr=1.609857e-04, loss=3.8639, time=21.0s
Step 98000/200000, lr=1.608652e-04, loss=3.7480, time=21.0s
Step 98050/200000, lr=1.607447e-04, loss=3.7454, time=21.0s
Step 98100/200000, lr=1.606242e-04, loss=3.8635, time=21.0s
Step 98150/200000, lr=1.605036e-04, loss=3.8446, time=21.0s
Step 98200/200000, lr=1.603831e-04, loss=3.8658, time=21.0s
Step 98250/200000, lr=1.602626e-04, loss=3.8986, time=21.0s
Step 98300/200000, lr=1.601420e-04, loss=3.7859, time=21.0s
Step 98350/200000, lr=1.600215e-04, loss=3.7978, time=21.0s
Step 98400/200000, lr=1.599009e-04, loss=3.8324, time=21.0s
Step 98450/200000, lr=1.597803e-04, loss=3.8132, time=21.0s
Step 98500/200000, lr=1.596597e-04, loss=3.7859, time=21.0s
Step 98550/200000, lr=1.595392e-04, loss=3.8499, time=21.0s
Step 98600/200000, lr=1.594186e-04, loss=3.9710, time=21.0s
Step 98650/200000, lr=1.592980e-04, loss=3.9410, time=21.0s
Step 98700/200000, lr=1.591774e-04, loss=3.8229, time=21.0s
Step 98750/200000, lr=1.590568e-04, loss=3.8167, time=21.0s
Step 98800/200000, lr=1.589362e-04, loss=3.7942, time=21.0s
Step 98850/200000, lr=1.588155e-04, loss=3.8125, time=21.0s
Step 98900/200000, lr=1.586949e-04, loss=3.8427, time=21.0s
Step 98950/200000, lr=1.585743e-04, loss=3.7850, time=21.0s
Step 99000/200000, lr=1.584537e-04, loss=3.8323, time=21.0s
Step 99050/200000, lr=1.583330e-04, loss=3.7688, time=21.0s
Step 99100/200000, lr=1.582124e-04, loss=3.8995, time=21.0s
Step 99150/200000, lr=1.580917e-04, loss=3.8069, time=21.0s
Step 99200/200000, lr=1.579711e-04, loss=3.7467, time=21.0s
Step 99250/200000, lr=1.578504e-04, loss=3.8575, time=21.0s
Step 99300/200000, lr=1.577297e-04, loss=3.7776, time=21.0s
Step 99350/200000, lr=1.576091e-04, loss=3.8430, time=21.0s
Step 99400/200000, lr=1.574884e-04, loss=3.7602, time=21.0s
Step 99450/200000, lr=1.573677e-04, loss=3.9016, time=21.0s
Step 99500/200000, lr=1.572470e-04, loss=3.8520, time=21.0s
Step 99550/200000, lr=1.571263e-04, loss=3.6974, time=21.0s
Step 99600/200000, lr=1.570056e-04, loss=3.8066, time=21.0s
Step 99650/200000, lr=1.568849e-04, loss=3.9099, time=21.0s
Step 99700/200000, lr=1.567642e-04, loss=3.7943, time=21.1s
Step 99750/200000, lr=1.566435e-04, loss=3.6987, time=21.1s
Step 99800/200000, lr=1.565228e-04, loss=3.8105, time=21.0s
Step 99850/200000, lr=1.564021e-04, loss=3.8086, time=21.1s
Step 99900/200000, lr=1.562813e-04, loss=3.8298, time=21.1s
Step 99950/200000, lr=1.561606e-04, loss=3.7708, time=21.0s
Step 100000/200000, lr=1.560399e-04, loss=3.8146, time=21.1s
Saved checkpoint to ./checkpoints/phase1/checkpoint_step_100000.pt
Step 100050/200000, lr=1.559192e-04, loss=3.7539, time=21.7s
Step 100100/200000, lr=1.557984e-04, loss=3.8688, time=21.0s
Step 100150/200000, lr=1.556777e-04, loss=3.7425, time=21.1s
Step 100200/200000, lr=1.555569e-04, loss=3.8020, time=21.5s
Step 100250/200000, lr=1.554362e-04, loss=3.7124, time=21.0s
Step 100300/200000, lr=1.553154e-04, loss=3.7365, time=21.0s
Step 100350/200000, lr=1.551947e-04, loss=3.8693, time=21.1s
Step 100400/200000, lr=1.550739e-04, loss=3.8047, time=21.0s
Step 100450/200000, lr=1.549531e-04, loss=3.8495, time=21.0s
Step 100500/200000, lr=1.548324e-04, loss=3.7423, time=21.0s
Step 100550/200000, lr=1.547116e-04, loss=3.8668, time=21.0s
Step 100600/200000, lr=1.545908e-04, loss=3.8065, time=21.0s
Step 100650/200000, lr=1.544701e-04, loss=3.7898, time=21.1s
Step 100700/200000, lr=1.543493e-04, loss=3.7439, time=21.1s
Step 100750/200000, lr=1.542285e-04, loss=3.8811, time=21.1s
Step 100800/200000, lr=1.541077e-04, loss=3.7767, time=21.0s
Step 100850/200000, lr=1.539869e-04, loss=3.7252, time=21.0s
Step 100900/200000, lr=1.538661e-04, loss=3.7615, time=21.0s
Step 100950/200000, lr=1.537454e-04, loss=3.8596, time=21.0s
Step 101000/200000, lr=1.536246e-04, loss=3.9241, time=21.0s
Step 101050/200000, lr=1.535038e-04, loss=3.7611, time=21.0s
Step 101100/200000, lr=1.533830e-04, loss=3.8787, time=21.0s
Step 101150/200000, lr=1.532622e-04, loss=3.8351, time=21.0s
Step 101200/200000, lr=1.531414e-04, loss=3.8268, time=21.1s
Step 101250/200000, lr=1.530206e-04, loss=3.7854, time=21.1s
Step 101300/200000, lr=1.528998e-04, loss=3.8295, time=21.1s
Step 101350/200000, lr=1.527789e-04, loss=3.7937, time=21.0s
Step 101400/200000, lr=1.526581e-04, loss=3.6691, time=21.0s
Step 101450/200000, lr=1.525373e-04, loss=3.8221, time=21.8s
Step 101500/200000, lr=1.524165e-04, loss=3.7793, time=25.0s
Step 101550/200000, lr=1.522957e-04, loss=3.8059, time=27.4s
Step 101600/200000, lr=1.521749e-04, loss=3.7581, time=28.1s
Step 101650/200000, lr=1.520541e-04, loss=3.7888, time=28.1s
Step 101700/200000, lr=1.519332e-04, loss=3.9869, time=28.1s
Step 101750/200000, lr=1.518124e-04, loss=3.8173, time=28.1s
Step 101800/200000, lr=1.516916e-04, loss=3.7397, time=28.1s
Step 101850/200000, lr=1.515708e-04, loss=3.7007, time=28.1s
Step 101900/200000, lr=1.514499e-04, loss=3.8312, time=28.1s
Step 101950/200000, lr=1.513291e-04, loss=3.8109, time=28.1s
Step 102000/200000, lr=1.512083e-04, loss=3.8058, time=28.1s
Step 102050/200000, lr=1.510875e-04, loss=3.8370, time=28.1s
Step 102100/200000, lr=1.509666e-04, loss=3.8095, time=28.1s
Step 102150/200000, lr=1.508458e-04, loss=3.8651, time=28.1s
Step 102200/200000, lr=1.507250e-04, loss=3.7011, time=28.1s
Step 102250/200000, lr=1.506042e-04, loss=3.8041, time=28.1s
Step 102300/200000, lr=1.504833e-04, loss=3.7741, time=28.1s
Step 102350/200000, lr=1.503625e-04, loss=3.7450, time=28.1s
Step 102400/200000, lr=1.502417e-04, loss=3.8658, time=28.1s
Step 102450/200000, lr=1.501208e-04, loss=3.7705, time=28.1s
Step 102500/200000, lr=1.500000e-04, loss=3.8055, time=28.1s
Step 102550/200000, lr=1.498792e-04, loss=3.7409, time=28.1s
Step 102600/200000, lr=1.497583e-04, loss=3.7976, time=28.1s
Step 102650/200000, lr=1.496375e-04, loss=3.7961, time=28.1s
Step 102700/200000, lr=1.495167e-04, loss=3.7066, time=28.1s
Step 102750/200000, lr=1.493958e-04, loss=3.8895, time=28.1s
Step 102800/200000, lr=1.492750e-04, loss=3.8129, time=28.1s
Step 102850/200000, lr=1.491542e-04, loss=3.8333, time=28.1s
Step 102900/200000, lr=1.490334e-04, loss=3.7825, time=28.1s
Step 102950/200000, lr=1.489125e-04, loss=3.7559, time=28.1s
Step 103000/200000, lr=1.487917e-04, loss=3.7834, time=28.1s
Step 103050/200000, lr=1.486709e-04, loss=3.7202, time=28.1s
Step 103100/200000, lr=1.485501e-04, loss=3.8117, time=28.1s
Step 103150/200000, lr=1.484292e-04, loss=3.8510, time=28.1s
Step 103200/200000, lr=1.483084e-04, loss=3.7963, time=28.1s
Step 103250/200000, lr=1.481876e-04, loss=3.8971, time=28.1s
Step 103300/200000, lr=1.480668e-04, loss=3.8443, time=28.1s
Step 103350/200000, lr=1.479459e-04, loss=3.7996, time=28.1s
Step 103400/200000, lr=1.478251e-04, loss=3.8268, time=28.1s
Step 103450/200000, lr=1.477043e-04, loss=3.7539, time=28.1s
Step 103500/200000, lr=1.475835e-04, loss=3.8356, time=28.1s
Step 103550/200000, lr=1.474627e-04, loss=3.8116, time=28.1s
Step 103600/200000, lr=1.473419e-04, loss=3.8177, time=28.1s
Step 103650/200000, lr=1.472211e-04, loss=3.8282, time=28.1s
Step 103700/200000, lr=1.471002e-04, loss=3.8381, time=28.1s
Step 103750/200000, lr=1.469794e-04, loss=3.8118, time=28.1s
Step 103800/200000, lr=1.468586e-04, loss=3.7171, time=28.1s
Step 103850/200000, lr=1.467378e-04, loss=3.7029, time=28.1s
Step 103900/200000, lr=1.466170e-04, loss=3.9346, time=28.1s
Step 103950/200000, lr=1.464962e-04, loss=3.8401, time=28.1s
Step 104000/200000, lr=1.463754e-04, loss=3.8813, time=28.1s
Step 104050/200000, lr=1.462546e-04, loss=3.8117, time=28.1s
Step 104100/200000, lr=1.461339e-04, loss=3.6946, time=28.1s
Step 104150/200000, lr=1.460131e-04, loss=3.7296, time=28.1s
Step 104200/200000, lr=1.458923e-04, loss=3.7371, time=28.1s
Step 104250/200000, lr=1.457715e-04, loss=3.8360, time=28.1s
Step 104300/200000, lr=1.456507e-04, loss=3.7741, time=28.1s
Step 104350/200000, lr=1.455299e-04, loss=3.8155, time=28.1s
Step 104400/200000, lr=1.454092e-04, loss=3.7270, time=28.1s
Step 104450/200000, lr=1.452884e-04, loss=3.9081, time=28.1s
Step 104500/200000, lr=1.451676e-04, loss=3.9235, time=28.1s
Step 104550/200000, lr=1.450469e-04, loss=3.8742, time=28.1s
Step 104600/200000, lr=1.449261e-04, loss=3.7045, time=28.1s
Step 104650/200000, lr=1.448053e-04, loss=3.8219, time=28.1s
Step 104700/200000, lr=1.446846e-04, loss=3.7379, time=28.1s
Step 104750/200000, lr=1.445638e-04, loss=3.7644, time=28.1s
Step 104800/200000, lr=1.444431e-04, loss=3.7589, time=28.1s
Step 104850/200000, lr=1.443223e-04, loss=3.8255, time=28.1s
Step 104900/200000, lr=1.442016e-04, loss=3.7773, time=28.1s
Step 104950/200000, lr=1.440808e-04, loss=3.7512, time=28.1s
Step 105000/200000, lr=1.439601e-04, loss=3.7232, time=28.1s
Step 105050/200000, lr=1.438394e-04, loss=3.7716, time=28.1s
Step 105100/200000, lr=1.437187e-04, loss=3.8489, time=28.1s
Step 105150/200000, lr=1.435979e-04, loss=3.7612, time=28.1s
Step 105200/200000, lr=1.434772e-04, loss=3.7347, time=28.1s
Step 105250/200000, lr=1.433565e-04, loss=3.8278, time=28.1s
Step 105300/200000, lr=1.432358e-04, loss=3.8447, time=28.1s
Step 105350/200000, lr=1.431151e-04, loss=3.7929, time=28.1s
Step 105400/200000, lr=1.429944e-04, loss=3.7945, time=28.1s
Step 105450/200000, lr=1.428737e-04, loss=3.7713, time=28.1s
Step 105500/200000, lr=1.427530e-04, loss=3.9045, time=28.1s
